full_name,2020/21 ,2020/21(*)
Kyle Anderson,"$9,505,100","$11,249,516"
Meyers Leonard,"$9,400,000","$11,125,127"
Derrick Favors,"$9,258,000","$10,957,067"
Derrick Jones,"$9,258,000","$10,957,067"
Jae Crowder,"$9,258,000","$10,957,067"
Montrezl Harrell,"$9,258,000","$10,957,067"
Serge Ibaka,"$9,258,000","$10,957,067"
Tristan Thompson,"$9,258,000","$10,957,067"
Dario Saric,"$9,250,000","$10,947,599"
Ja Morant,"$9,166,800","$10,849,130"
Delon Wright,"$9,000,000","$10,651,718"
Marvin Bagley,"$8,963,640","$10,608,685"
Cedi Osman,"$8,840,580","$10,463,040"
Tyus Jones,"$8,817,143","$10,435,302"
James Wiseman,"$8,730,240","$10,332,450"
Royce O'Neale,"$8,500,000","$10,059,956"
Maxi Kleber,"$8,475,000","$10,030,367"
Thomas Bryant,"$8,333,333","$9,862,701"
RJ Barrett,"$8,231,760","$9,742,487"
Jakob Poeltl,"$8,101,852","$9,588,738"
De'Aaron Fox,"$8,099,627","$9,586,104"
Luka Doncic,"$8,049,360","$9,526,612"
Mason Plumlee,"$8,000,000","$9,468,193"
Louis Williams,"$8,000,000","$9,468,193"
PJ Tucker,"$7,969,537","$9,432,140"
LaMelo Ball,"$7,839,960","$9,278,782"
Seth Curry,"$7,834,449","$9,272,260"
Derrick Rose,"$7,682,926","$9,092,929"
Cristiano Felicio,"$7,529,020","$8,910,777"
Rajon Rondo,"$7,500,000","$8,876,431"
De'Andre Hunter,"$7,422,000","$8,784,116"
Jonathan Isaac,"$7,362,565","$8,713,774"
Doug McDermott,"$7,333,333","$8,679,177"
Robin Lopez,"$7,300,000","$8,639,726"
Jaren Jackson Jr,"$7,257,360","$8,589,261"
JaMychal Green,"$7,199,760","$8,521,090"
Nemanja Bjelica,"$7,150,000","$8,462,198"
Patrick Williams,"$7,068,360","$8,365,575"
Aron Baynes,"$7,000,000","$8,284,669"
Darius Miller,"$7,000,000","$8,284,669"
Ivica Zubac,"$7,000,000","$8,284,669"
Jabari Parker,"$6,930,729","$8,202,685"
Lauri Markkanen,"$6,731,508","$7,966,902"
Darius Garland,"$6,720,720","$7,954,135"
DJ Augustin,"$6,666,667","$7,890,162"
Trae Young,"$6,571,800","$7,777,884"
Chris Boucher,"$6,500,000","$7,692,907"
Juan Hernangomez,"$6,493,000","$7,684,622"
Joakim Noah,"$6,431,666","$7,612,032"
Isaac Okoro,"$6,400,920","$7,575,644"
Frank Ntilikina,"$6,176,578","$7,310,129"
DeMarre Carroll,"$6,119,676","$7,242,784"
Jarrett Culver,"$6,104,280","$7,224,563"
Ishmael Smith,"$6,000,000","$7,101,145"
Alec Burks,"$6,000,000","$7,101,145"
Mo Bamba,"$5,969,040","$7,064,503"
Onyeka Okongwu,"$5,813,640","$6,880,583"
Justin Holiday,"$5,720,400","$6,770,232"
Dennis Smith,"$5,686,677","$6,730,320"
Avery Bradley,"$5,635,000","$6,669,159"
Timofey Mozgov,"$5,573,333","$6,596,174"
Coby White,"$5,572,680","$6,595,401"
Trey Lyles,"$5,500,000","$6,509,383"
Wendell Carter,"$5,448,840","$6,448,834"
Zach Collins,"$5,406,255","$6,398,433"
Malik Monk,"$5,345,687","$6,326,750"
Killian Hayes,"$5,307,120","$6,281,105"
Luke Kennard,"$5,273,826","$6,241,700"
Ryan Anderson,"$5,214,583","$6,171,585"
Donovan Mitchell,"$5,195,501","$6,149,001"
Rodney McGruder,"$5,192,307","$6,145,221"
Bam Adebayo,"$5,115,492","$6,054,308"
Justin Jackson,"$5,109,637","$6,047,378"
Jaxson Hayes,"$5,105,160","$6,042,080"
Richaun Holmes,"$5,005,350","$5,923,953"
Enes Kanter,"$5,005,350","$5,923,953"
Mike Scott,"$5,005,350","$5,923,953"
Ed Davis,"$5,005,350","$5,923,953"
Nerlens Noel,"$5,000,000","$5,917,621"
Luol Deng,"$5,000,000","$5,917,621"
Daniel Theis,"$5,000,000","$5,917,621"
Collin Sexton,"$4,991,880","$5,908,011"
Pat Connaughton,"$4,938,273","$5,844,565"
Obi Toppin,"$4,862,040","$5,754,342"
Kevon Looney,"$4,821,429","$5,706,278"
Elfrid Payton,"$4,767,000","$5,641,860"
Josh Jackson,"$4,767,000","$5,641,860"
Garrett Temple,"$4,767,000","$5,641,860"
Kris Dunn,"$4,767,000","$5,641,860"
Rui Hachimura,"$4,692,840","$5,554,089"
Denzel Valentine,"$4,642,800","$5,494,866"
Kevin Knox,"$4,588,680","$5,430,814"
DJ Wilson,"$4,548,280","$5,382,999"
Deni Avdija,"$4,469,160","$5,289,359"
Cam Reddish,"$4,458,000","$5,276,151"
TJ Leaf,"$4,431,423","$5,244,696"
Mikal Bridges,"$4,359,000","$5,158,982"
Jalen Smith,"$4,245,720","$5,024,912"
Cameron Johnson,"$4,235,160","$5,012,414"
Reggie Bullock,"$4,200,000","$4,970,801"
JaVale McGee,"$4,200,000","$4,970,801"
Shai Gilgeous-Alexander,"$4,141,320","$4,901,352"
John Collins,"$4,137,302","$4,896,597"
Willie Cauley-Stein,"$4,100,000","$4,852,449"
Devin Vassell,"$4,033,440","$4,773,674"
PJ Washington,"$4,023,600","$4,762,028"
Patrick McCaw,"$4,000,000","$4,734,096"
Dorian Finney-Smith,"$4,000,000","$4,734,096"
Alex Len,"$3,970,648","$4,699,357"
Terrance Ferguson,"$3,944,013","$4,667,835"
Miles Bridges,"$3,934,320","$4,656,363"
Austin Rivers,"$3,929,049","$4,650,123"
Jevon Carter,"$3,925,000","$4,645,332"
Jarrett Allen,"$3,909,902","$4,627,463"
Nicolo Melli,"$3,897,436","$4,612,710"
OG Anunoby,"$3,872,215","$4,582,860"
Gabriel Deck,"$3,870,370","$4,580,676"
Tyrese Haliburton,"$3,831,840","$4,535,075"
Tyler Herro,"$3,822,240","$4,523,713"
Patrick Patterson,"$3,814,771","$4,514,873"
Stanley Johnson,"$3,804,150","$4,502,303"
Jake Layman,"$3,761,085","$4,451,335"
Jerome Robinson,"$3,737,520","$4,423,445"
Danuel House,"$3,717,000","$4,399,159"
Kira Lewis,"$3,640,200","$4,308,264"
Romeo Langford,"$3,631,200","$4,297,613"
Moe Harkless,"$3,623,000","$4,287,908"
Bobby Portis,"$3,623,000","$4,287,908"
Wesley Matthews,"$3,623,000","$4,287,908"
Wayne Ellington,"$3,564,753","$4,218,971"
Kyle Kuzma,"$3,562,178","$4,215,924"
Michael Porter,"$3,550,800","$4,202,457"
Tony Bradley,"$3,542,060","$4,192,113"
Derrick White,"$3,516,284","$4,161,607"
Luca Vildoza,"$3,500,000","$4,142,334"
TJ McConnell,"$3,500,000","$4,142,334"
Boban Marjanovic,"$3,500,000","$4,142,334"
Bismack Biyombo,"$3,500,000","$4,142,334"
Josh Hart,"$3,491,159","$4,131,871"
Aaron Nesmith,"$3,458,400","$4,093,100"
Sekou Doumbouya,"$3,449,400","$4,082,448"
Dewayne Dedmon,"$3,447,478","$4,080,172"
Troy Brown,"$3,372,840","$3,991,837"
Jeff Teague,"$3,372,826","$3,991,820"
James Ennis,"$3,300,000","$3,905,630"
Michael Carter-Williams,"$3,300,000","$3,905,630"
Cole Anthony,"$3,285,120","$3,888,019"
Taj Gibson,"$3,283,684","$3,886,319"
Facundo Campazzo,"$3,200,000","$3,787,277"
Jon Leuer,"$3,169,348","$3,751,000"
Chuma Okeke,"$3,121,080","$3,693,873"
Isaiah Stewart,"$3,121,080","$3,693,873"
Nickeil Alexander-Walker,"$3,113,160","$3,684,500"
DeMarcus Cousins,"$3,051,832","$3,611,916"
Donte DiVincenzo,"$3,044,160","$3,602,837"
Khem Birch,"$3,011,499","$3,564,181"
Trey Burke,"$3,000,000","$3,550,572"
Ryan Arcidiacono,"$3,000,000","$3,550,572"
Aleksej Pokusevski,"$2,964,840","$3,508,960"
Goga Bitadze,"$2,957,520","$3,500,296"
Lonnie Walker,"$2,895,720","$3,427,154"
Ben McLemore,"$2,893,630","$3,424,681"
Andrew Nicholson,"$2,844,429","$3,366,450"
Luka Samanic,"$2,824,320","$3,342,651"
Josh Green,"$2,816,760","$3,333,703"
Kevin Huerter,"$2,761,920","$3,268,799"
Marko Guduric,"$2,750,000","$3,254,691"
Alex Caruso,"$2,750,000","$3,254,691"
Matisse Thybulle,"$2,711,280","$3,208,865"
Saddiq Bey,"$2,689,920","$3,183,585"
Josh Okogie,"$2,651,040","$3,137,570"
Vincent Poirier,"$2,619,207","$3,099,894"
Brandon Clarke,"$2,602,920","$3,080,618"
Precious Achiuwa,"$2,582,160","$3,056,048"
Carmelo Anthony,"$2,564,753","$3,035,447"
Dwight Howard,"$2,564,753","$3,035,447"
Udonis Haslem,"$2,564,753","$3,035,447"
Jared Dudley,"$2,564,753","$3,035,447"
Marc Gasol,"$2,564,753","$3,035,447"
Jose Juan Barea,"$2,564,753","$3,035,447"
Jeff Green,"$2,564,753","$3,035,447"
Grayson Allen,"$2,545,320","$3,012,447"
Grant Williams,"$2,498,760","$2,957,343"
Tyrese Maxey,"$2,478,840","$2,933,767"
Chandler Hutchison,"$2,443,440","$2,891,870"
Mfiondu Kabengele,"$2,432,353","$2,878,748"
Darius Bazley,"$2,399,160","$2,839,464"
Moritz Wagner,"$2,383,915","$2,821,420"
Zeke Nnaji,"$2,379,840","$2,816,598"
Aaron Holiday,"$2,345,640","$2,776,121"
Bryn Forbes,"$2,337,145","$2,766,067"
E'Twaun Moore,"$2,331,593","$2,759,496"
Markieff Morris,"$2,331,593","$2,759,496"
Reggie Jackson,"$2,331,593","$2,759,496"
Hassan Whiteside,"$2,320,044","$2,745,828"
Kent Bazemore,"$2,320,044","$2,745,828"
Ty Jerome,"$2,303,040","$2,725,703"
Mike Muscala,"$2,283,034","$2,702,026"
Anfernee Simons,"$2,252,040","$2,665,343"
Brad Wanamaker,"$2,250,000","$2,662,929"
Luke Kornet,"$2,250,000","$2,662,929"
Monta Ellis,"$2,245,400","$2,657,485"
Nassir Little,"$2,210,640","$2,616,346"
RJ Hampton,"$2,193,480","$2,596,036"
Matthew Dellavedova,"$2,174,318","$2,573,358"
Solomon Hill,"$2,174,318","$2,573,358"
Edmond Sumner,"$2,160,000","$2,556,412"
Anderson Varejao,"$2,141,713","$2,534,769"
Dylan Windler,"$2,137,440","$2,529,712"
Immanuel Quickley,"$2,105,520","$2,491,933"
John Konchar,"$2,100,000","$2,485,400"
Landry Shamet,"$2,090,040","$2,473,613"
Jordan Poole,"$2,063,280","$2,441,941"
Bol Bol,"$2,058,240","$2,435,976"
Keldon Johnson,"$2,048,040","$2,423,904"
Payton Pritchard,"$2,035,800","$2,409,418"
Robert Williams,"$2,029,920","$2,402,459"
Langston Galloway,"$2,028,594","$2,400,890"
Bruno Caboclo,"$2,028,594","$2,400,890"
Tyler Johnson,"$2,028,594","$2,400,890"
Gary Clark,"$2,018,458","$2,388,893"
Jacob Evans,"$2,017,320","$2,387,547"
Spencer Hawes,"$2,007,058","$2,375,401"
Dzanan Musa,"$2,002,800","$2,370,362"
Theo Maledon,"$2,000,000","$2,367,048"
Kenrich Williams,"$2,000,000","$2,367,048"
Damyean Dotson,"$2,000,000","$2,367,048"
Omari Spellman,"$1,988,280","$2,353,177"
Quinn Cook,"$1,981,649","$2,345,329"
Cameron Payne,"$1,977,011","$2,339,840"
Mario Hezonja,"$1,977,011","$2,339,840"
Udoka Azubuike,"$1,977,000","$2,339,827"
Jaden McDaniels,"$1,964,760","$2,325,341"
Malachi Flynn,"$1,950,600","$2,308,582"
Desmond Bane,"$1,936,440","$2,291,823"
Jontay Porter,"$1,900,000","$2,248,696"
Raul Neto,"$1,882,867","$2,228,418"
JaKarr Sampson,"$1,882,867","$2,228,418"
Jahlil Okafor,"$1,882,867","$2,228,418"
Larry Sanders,"$1,865,546","$2,207,918"
Marquese Chriss,"$1,824,003","$2,158,751"
David Nwaba,"$1,824,003","$2,158,751"
Timothe Luwawu,"$1,824,003","$2,158,751"
Georges Niang,"$1,783,557","$2,110,882"
